small cell lung carcinoma	hsa-mir-378g
lymphoma, non-hodgkin	hsa-mir-200c
papilary thyroid carcinoma	hsa-mir-27b
mastocytosis, systemic	hsa-mir-582
huntington disease	hsa-let-7c
gerstmann-straussler-scheinker disease	hsa-mir-92b
sarcoma, ewing's	hsa-mir-129
hematologic neoplasms	hsa-mir-425
adenoma	hsa-mir-567
heart defects, congenital	hsa-mir-216a
siv infection	hsa-mir-421
adenocarcinoma	hsa-mir-378e
leukemia, promyelocytic, acute	hsa-mir-29c
hearing loss	hsa-mir-495
lymphoma, large-cell, anaplastic	hsa-mir-663a
colorectal neoplasms	hsa-mir-564
lymphoma, large b-cell, diffuse	hsa-mir-372
brain ischemia	hsa-mir-193b
barrett esophagus	hsa-mir-410
leukoplakia, oral	hsa-mir-935
hiv infection	hsa-mir-203
nasopharyngeal neoplasms	hsa-mir-642a
focal epithelial hyperplasia	hsa-mir-507
myocytes, cardiac	hsa-mir-1260a
muscular dystrophies	hsa-mir-134
keloid	hsa-mir-193a
anxiety disorders	hsa-mir-221
stomach diseases	hsa-mir-1258
cryptosporidium	hsa-mir-449c
precursor t-cell lymphoblastic leukemia-lymphoma	hsa-mir-200b
leukemia, lymphoblastic, acute	hsa-mir-527
glioblastoma	hsa-mir-600
leukemia, b-cell	hsa-mir-490
biliary tract neoplasms	hsa-mir-137
siv infection	hsa-mir-10b
nasal polyps	hsa-mir-519e
dyslipidemias	hsa-mir-331
myocardial ischemia	hsa-mir-300
adenoviridae infections	hsa-mir-525
erythropoiesis	hsa-mir-513c
down syndrome	hsa-mir-1236
francisella	hsa-mir-1293
gout	hsa-mir-1323
hand, foot and mouth disease	hsa-mir-3163
carotid artery diseases	hsa-mir-422a
cardiomyopathy, dilated	hsa-mir-487b
neutropenia	hsa-mir-1233
carcinoma, small cell	hsa-mir-31
hearing loss	hsa-mir-760
cerebral hemorrhage	hsa-mir-548d
liver cirrhosis, biliary	hsa-mir-429
pain	hsa-mir-195
sarcoma, ewing	hsa-mir-1245b
skin neoplasms	hsa-mir-362
cerebellar neoplasms	hsa-mir-1293
muscular dystrophy, duchenne	hsa-mir-497
hepatitis c, chronic	hsa-mir-941
moyamoya disease	hsa-mir-377
inflammation	hsa-mir-564
rna virus infections	hsa-mir-450b
cardiomyopathy, hypertrophic	hsa-mir-133b
acute lung injury	hsa-mir-671
liposarcoma	hsa-mir-767
erythropoiesis	hsa-mir-506
carcinoma, ehrlich tumor	hsa-mir-1266
burkitt lymphoma	hsa-mir-590
hamartoma syndrome, multiple	hsa-mir-1183
cystic fibrosis	hsa-mir-124a
cholangiocarcinoma	hsa-mir-193a
kidney failure, chronic	hsa-mir-635
gout	hsa-mir-365b
leiomyoma	hsa-mir-429
kidney neoplasms	hsa-mir-1285
meningioma	hsa-mir-205
obesity	hsa-mir-30e
multiple myeloma	hsa-mir-338
lymphoma, non-hodgkin	hsa-mir-30d
infertility, male	hsa-mir-200
hepatoblastoma	hsa-mir-718
brain ischemia	hsa-mir-501
nasal polyps	hsa-mir-378f
liver cirrhosis	hsa-mir-640
leiomyosarcoma	hsa-mir-655
radiation injuries	hsa-mir-484
pemphigus, benign familial	hsa-mir-3151
liver diseases, alcoholic	hsa-mir-126
psoriasis	hsa-mir-151
osteosarcoma 	hsa-mir-633
hepatitis	hsa-mir-583
heart defects, congenital	hsa-mir-320b
cerebellar neoplasms	hsa-mir-181a
hepatitis b	hsa-mir-30b
scleroderma, systemic	hsa-mir-550a
distal myopathies	hsa-mir-491
myelodysplastic syndromes	hsa-mir-320d
granulosa cell tumor	hsa-mir-638
melanoma	hsa-mir-630
aids dementia complex	hsa-mir-193a
nerve sheath neoplasms	hsa-mir-27b
lupus nephritis	hsa-mir-301b
liver failure	hsa-mir-146b
pheochromocytoma	hsa-mir-199a
mesothelioma	hsa-mir-598
kidney neoplasms	hsa-mir-96
alzheimer disease	hsa-mir-491
behcet syndrome	hsa-mir-518e
hpv infection	hsa-mir-106b
radiation injuries	hsa-mir-3163
intracranial aneurysm	hsa-mir-378d
skin neoplasms	hsa-mir-22
laryngeal neoplasms	hsa-mir-148b
dyspepsia	hsa-mir-24
hyperglycemia	hsa-mir-1202
abortion, habitual	hsa-mir-205
carcinoma, endometrioid	hsa-mir-635
fibrosis	hsa-mir-600
pituitary neoplasms	hsa-mir-545
nervous system diseases	hsa-mir-767
ovarian neoplasms	hsa-mir-648
stroke	hsa-mir-335
adenoviridae infections	hsa-mir-518e
leprosy	hsa-mir-490
dyslipidemias	hsa-mir-548c
hyperglycemia	hsa-mir-504
sarcoma, synovial	hsa-mir-25
synapses	hsa-mir-150
dyspepsia	hsa-mir-544b
diabetes mellitus, type 1	hsa-mir-130a
nervous system diseases	hsa-mir-301a
diabetes mellitus	hsa-mir-410
metabolic diseases	hsa-mir-181b
liver cirrhosis, biliary	hsa-mir-384
colitis	hsa-mir-449a
burns	hsa-mir-155
supranuclear palsy, progressive	hsa-mir-542
drug-induced liver injury	hsa-mir-518c
synapses	hsa-mir-362
aging	hsa-mir-320e
myelodysplastic syndromes	hsa-mir-21
cystic fibrosis	hsa-mir-425
myocytes, cardiac	hsa-mir-326
leukemia, myeloid, chronic-phase	hsa-mir-330
sezary syndrome	hsa-mir-564
rectal neoplasms	hsa-mir-487a
burns	hsa-mir-498
diabetes mellitus, type 1	hsa-mir-296
biliary tract neoplasms	hsa-mir-381
papilary thyroid carcinoma	hsa-mir-1249
influenza, human	hsa-mir-2861
giant cell tumors	hsa-mir-323b
ovary syndrome	hsa-mir-99b
rhabdomyosarcoma	hsa-mir-383
cystic fibrosis	hsa-mir-98
retinal degeneration	hsa-mir-375
eczema	hsa-mir-1827
behcet syndrome	hsa-mir-659
keratoconus	hsa-mir-95
tongue neoplasms	hsa-mir-181
retinoblastoma	hsa-mir-205
multiple sclerosis	hsa-mir-147b
lung neoplasms	hsa-mir-1246
lymphoproliferative disorders	hsa-mir-485
myocardial reperfusion injury	hsa-mir-498
biliary atresia	hsa-mir-195
pemphigus, benign familial	hsa-mir-614
carcinoma, squamous cell	hsa-mir-106a
stomach diseases	hsa-mir-1303
thyroid neoplasms	hsa-mir-520h
distal myopathies	hsa-mir-93
laryngeal neoplasms	hsa-mir-99a
osteoporosis	hsa-mir-642b
gastric neoplasms	hsa-mir-33b
lymphoproliferative disorders	hsa-mir-601
huntington disease	hsa-mir-497
pain	hsa-mir-1184
glioma	hsa-mir-1245b
dyspepsia	hsa-mir-484
eosinophilic esophagitis	hsa-mir-1290
cataract	hsa-mir-372
biliary tract neoplasms	hsa-mir-383
dermatitis, atopic	hsa-mir-619
acute coronary syndrome	hsa-mir-200a
retinal neovascularization	hsa-mir-450a
nephrosclerosis	hsa-mir-617
toxoplasma	hsa-mir-30d
siv infection	hsa-mir-941
hemangioma	hsa-mir-1293
pulmonary disease, chronic obstructive	hsa-mir-302e
asthma	hsa-mir-188
neoplasms	hsa-mir-574
amyloidosis	hsa-mir-664
odontogenic tumors	hsa-mir-539
moyamoya disease	hsa-mir-523
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-544a
kidney diseases	hsa-mir-200a
metabolic diseases	hsa-mir-493
chlamydia infections	hsa-mir-196b
multiple endocrine neoplasia type 1	hsa-mir-516a
drug-induced liver injury	hsa-mir-516a
cystic fibrosis	hsa-mir-92a
papilary thyroid carcinoma	hsa-mir-424
alzheimer disease	hsa-mir-3151
distal myopathies	hsa-mir-203
cervical intraepithelial neoplasia	hsa-mir-608
adenoma	hsa-mir-29a
carcinoma, basal cell	hsa-mir-340
arthritis	hsa-mir-200a
pregnancy, ectopic	hsa-mir-520g
abortion, habitual	hsa-mir-130b
azoospermia	hsa-mir-379
lymphoma, b-cell	hsa-mir-142
skin neoplasms	hsa-mir-486
spinal cord injuries	hsa-mir-26a
irritable bowel syndrome	hsa-mir-513a
hepatitis b, chronic	hsa-mir-518e
adenocarcinoma	hsa-mir-219
hiv	hsa-mir-450a
cicatrix	hsa-mir-30b
hypoxia-ischemia, brain	hsa-mir-663b
lipid metabolism disorders	hsa-mir-629
endometrial neoplasms	hsa-mir-933
alzheimer disease	hsa-mir-637
francisella	hsa-mir-497
radiation injuries	hsa-mir-657
rna virus infections	hsa-mir-505
endometrial neoplasms	hsa-mir-1256
liver diseases	hsa-mir-197
intellectual disability	hsa-mir-526b
colonic neoplasms	hsa-mir-10b
hypertrophy	hsa-mir-20a
gastrointestinal neoplasms	hsa-mir-520b
adenoviridae infections	hsa-mir-126
fatty liver, alcoholic	hsa-mir-636
osteoarthritis	hsa-mir-548d
hodgkin disease	hsa-mir-633
rna virus infections	hsa-mir-7
leukemia, promyelocytic, acute	hsa-mir-302f
cardiomyopathy, dilated	hsa-mir-1181
aging	hsa-mir-373
sezary syndrome	hsa-mir-149
kidney failure, chronic	hsa-mir-297
myeloproliferative disorders	hsa-mir-377
cocaine-related disorders	hsa-mir-532
urinary bladder neoplasms	hsa-mir-107
schistosomiasis	hsa-mir-1302
glioma	hsa-mir-548c
urinary bladder neoplasms	hsa-mir-127
astrocytoma	hsa-mir-3151
alzheimer disease	hsa-mir-544a
inflammatory bowel diseases	hsa-mir-548b
cardiomyopathy, hypertrophic	hsa-mir-624
leukemia, biphenotypic, acute	hsa-mir-1260a
long qt syndrome	hsa-mir-552
atherosclerosis	hsa-mir-422a
biliary tract neoplasms	hsa-mir-502
graft vs host disease	hsa-mir-363
kidney diseases	hsa-mir-641
arthritis	hsa-mir-197
atrial fibrillation	hsa-mir-302e
fragile x syndrome	hsa-mir-629
acth-secreting pituitary adenoma	hsa-mir-127
nephrosclerosis	hsa-mir-29a
adrenocortical adenoma	hsa-mir-26a
urinary bladder neoplasms	hsa-mir-151b
leiomyosarcoma	hsa-mir-378d
creutzfeldt-jakob syndrome	hsa-mir-302f
renal insufficiency	hsa-mir-483
mycosis fungoides	hsa-mir-452
autoimmune diseases	hsa-mir-29a
heart failure	hsa-mir-15a
giant cell tumors	hsa-mir-181d
burkitt lymphoma	hsa-mir-1180
carcinoma, small cell	hsa-mir-663a
neurodegenerative diseases	hsa-mir-33b
fibroblasts	hsa-mir-487b
neutropenia	hsa-mir-1179
adenoviridae infections	hsa-mir-433
lupus vulgaris	hsa-mir-518e
lipid metabolism disorders	hsa-mir-106b
neurilemmoma	hsa-mir-10a
pre-eclampsia	hsa-mir-1909
adrenal cortex neoplasms	hsa-mir-378g
pulmonary embolism	hsa-mir-331
leiomyosarcoma	hsa-mir-590
down syndrome	hsa-mir-646
rhabdomyosarcoma	hsa-mir-526b
colonic neoplasms	hsa-mir-302a
glioblastoma	hsa-mir-619
sars virus	hsa-mir-1280
lymphoma, b-cell	hsa-mir-153
sars virus	hsa-mir-636
reperfusion injury	hsa-mir-106a
parkinson disease	hsa-mir-760
dementia	hsa-mir-151b
obesity	hsa-mir-1246
small cell lung carcinoma	hsa-mir-616
biliary atresia	hsa-mir-642a
abortion, habitual	hsa-mir-566
hepatitis b, chronic	hsa-mir-1287
adrenal cortex neoplasms	hsa-mir-375
eye abnormalities	hsa-mir-375
renal insufficiency	hsa-mir-93
neurilemmoma	hsa-let-7i
fibroblasts	hsa-let-7d
lymphoma	hsa-mir-616
cryptosporidium	hsa-mir-454
alzheimer disease	hsa-mir-501
cholesteatoma	hsa-mir-34a
frontotemporal lobar degeneration	hsa-mir-302e
hev	hsa-mir-517c
myotonic dystrophy	hsa-mir-498
francisella	hsa-mir-345
aortic valve stenosis	hsa-mir-98
glioma	hsa-mir-151b
cerebral ischemia	hsa-mir-204
nephrosclerosis	hsa-mir-668
lymphoma, extranodal nk-t-cell	hsa-mir-297
aortic valve insufficiency	hsa-mir-569
fatty liver, alcoholic	hsa-mir-144
infertility, male	hsa-mir-637
hamartoma syndrome, multiple	hsa-mir-15a
scleroderma, localized	hsa-mir-95
colorectal neoplasms	hsa-mir-301a
distal myopathies	hsa-mir-212
choriocarcinoma	hsa-mir-324
diabetes complications	hsa-mir-19b
francisella	hsa-mir-142
cardiomyopathy, hypertrophic	hsa-mir-494
cystitis, interstitial	hsa-mir-320a
pregnancy, ectopic	hsa-mir-624
small cell lung carcinoma	hsa-mir-377
radiation injuries	hsa-mir-367
toxoplasmosis	hsa-mir-491
adrenocortical adenoma	hsa-mir-18b
child development disorders, pervasive	hsa-mir-767
diabetes complications	hsa-mir-410
polycystic kidney diseases	hsa-mir-1254
metabolic diseases	hsa-mir-424
chordoma	hsa-mir-593
carcinoma, endometrioid	hsa-mir-1303
renal insufficiency	hsa-mir-1297
uterine cervical neoplasms	hsa-mir-503
metabolic diseases	hsa-mir-1258
neurilemmoma	hsa-mir-98
periodontitis	hsa-mir-521
gastritis, atrophic	hsa-mir-523
pituitary neoplasms	hsa-mir-302e
gerstmann-straussler-scheinker disease	hsa-mir-182
heart defects, congenital	hsa-mir-552
liver failure	hsa-mir-512
hepatitis, chronic	hsa-mir-1293
diabetes mellitus	hsa-mir-1245a
leukemia-lymphoma, adult t-cell	hsa-mir-520d
graft vs host disease	hsa-mir-4257
brain neoplasms	hsa-mir-589
child development disorders, pervasive	hsa-mir-365a
carcinoma, basal cell	hsa-let-7b
albuminuria	hsa-mir-31
francisella	hsa-mir-143
nasopharyngeal neoplasms	hsa-mir-7
medulloblastoma	hsa-mir-184
myopia	hsa-mir-449a
cardiomegaly	hsa-mir-345
multiple myeloma	hsa-mir-410
eclampsia	hsa-mir-922
carcinoma, basal cell	hsa-mir-99b
hamartoma syndrome, multiple	hsa-mir-302c
asthma	hsa-mir-520g
alzheimer disease	hsa-mir-99a
hypertension	hsa-mir-544a
moyamoya disease	hsa-mir-544b
leukemia, myeloid	hsa-mir-375
ischemic preconditioning	hsa-mir-132
kidney diseases	hsa-mir-196a
sarcoma, ewing	hsa-mir-328
nephrosclerosis	hsa-mir-566
hematologic neoplasms	hsa-mir-214
vitiligo	hsa-mir-640
retinal neovascularization	hsa-mir-2110
wounds and injuries	hsa-mir-98
mycosis fungoides	hsa-mir-187
intervertebral disk	hsa-mir-377
hepatoblastoma	hsa-mir-216a
sjogren's syndrome	hsa-mir-2355
influenza, human	hsa-mir-1323
kidney failure, acute	hsa-mir-1915
hepatitis c, chronic	hsa-mir-190b
albuminuria	hsa-mir-484
carcinoma, ductal, breast	hsa-mir-522
synapses	hsa-mir-566
alopecia	hsa-mir-337
hypertrophy	hsa-mir-101
arthritis	hsa-mir-675
coronary artery disease	hsa-mir-210
kidney neoplasms	hsa-mir-3186
neurilemmoma	hsa-mir-223
influenza, human	hsa-mir-425
atherosclerosis	hsa-mir-498
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-2110
periodontitis	hsa-mir-105
amyotrophic lateral sclerosis	hsa-mir-425
acute coronary syndrome	hsa-mir-1909
hepatitis c, chronic	hsa-mir-182
leukemia, myeloid	hsa-mir-486
rhinitis, allergic, perennial	hsa-mir-1260a
toxoplasma	hsa-mir-572
muscular dystrophy, duchenne	hsa-mir-708
lymphoma	hsa-mir-16
adenoma	hsa-mir-130a
fibrosis	hsa-mir-449b
ischemic preconditioning	hsa-mir-615
biliary tract neoplasms	hsa-mir-520b
liposarcoma	hsa-mir-302e
biliary atresia	hsa-mir-561
obesity	hsa-mir-199a
leukemia, biphenotypic, acute	hsa-mir-520b
anemia, sickle cell	hsa-mir-617
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-196a
nasal polyps	hsa-mir-365b
nevus, pigmented	hsa-mir-1246
aids dementia complex	hsa-mir-326
diabetic nephropathies	hsa-mir-370
muscular dystrophies	hsa-mir-432
multiple sclerosis	hsa-mir-337
creutzfeldt-jakob syndrome	hsa-mir-3196
diabetic nephropathies	hsa-mir-1285
esophageal neoplasms	hsa-mir-668
diabetic retinopathy	hsa-mir-622
nasopharyngeal neoplasms	hsa-mir-128
liver neoplasms	hsa-mir-146b
psychotic disorders	hsa-mir-190a
cardiomyopathies	hsa-mir-26b
brain ischemia	hsa-mir-339
frontotemporal lobar degeneration	hsa-mir-27a
leukemia-lymphoma, adult t-cell	hsa-mir-500b
pituitary neoplasms	hsa-mir-30d
atrophy	hsa-mir-362
precursor t-cell lymphoblastic leukemia-lymphoma	hsa-mir-204
adrenal cortex neoplasms	hsa-mir-1296
vitiligo	hsa-mir-122
choriocarcinoma	hsa-mir-375
down syndrome	hsa-mir-215
amyotrophic lateral sclerosis	hsa-mir-363
creutzfeldt-jakob syndrome	hsa-mir-219
glomerulonephritis, iga	hsa-mir-328
glomerulonephritis	hsa-mir-378h
eclampsia	hsa-mir-885
burns	hsa-mir-133a
keratoconus	hsa-mir-382
dementia	hsa-mir-299
adenocarcinoma	hsa-mir-320c
carcinoma, non-small-cell lung	hsa-mir-124a
hypertrophy, left ventricular	hsa-mir-873
nasopharyngeal neoplasms	hsa-mir-519c
diabetic retinopathy	hsa-mir-497
scleroderma, localized	hsa-mir-326
carcinoma, oral	hsa-mir-514a
pre-eclampsia	hsa-mir-641
carcinoma, hepatocellular	hsa-mir-548c
drug-induced liver injury	hsa-mir-885
neuroblastoma	hsa-mir-187
glioblastoma	hsa-mir-1286
lymphoma, non-hodgkin	hsa-mir-492
pregnancy, ectopic	hsa-mir-337
sarcoma, ewing	hsa-mir-181b
fibroblasts	hsa-mir-199a
leukemia, myeloid, acute	hsa-mir-455
leukemia, myeloid	hsa-mir-130a
adrenocortical carcinoma	hsa-mir-654
sarcoma, ewing's	hsa-mir-127
leukemia, myeloid, chronic-phase	hsa-mir-181b
hepatitis c, chronic	hsa-mir-135b
rectal neoplasms	hsa-mir-378c
heart diseases	hsa-mir-520f
cholangiocarcinoma	hsa-mir-630
anxiety disorders	hsa-mir-154
cardiomyopathy, dilated	hsa-mir-1234
stomach neoplasms	hsa-mir-526b
cocaine-related disorders	hsa-mir-1303
alopecia	hsa-mir-518c
carcinoma, endometrioid	hsa-mir-650
mesothelioma	hsa-mir-331
esophagus	hsa-mir-23a
heart diseases	hsa-mir-33a
lymphoma, b-cell	hsa-mir-922
drug-induced liver injury	hsa-mir-596
lipid metabolism disorders	hsa-mir-448
stomach diseases	hsa-mir-769
nevus, pigmented	hsa-mir-193a
meningioma	hsa-mir-190b
leukemia, lymphoblastic, chronic	hsa-mir-190a
mesothelioma	hsa-mir-1323
mastocytosis, systemic	hsa-mir-497
amyloidosis	hsa-mir-196b
fragile x syndrome	hsa-mir-550a
neurofibromatosis 2	hsa-mir-335
chlamydia infections	hsa-mir-455
cryptosporidium	hsa-mir-432
leukoplakia, oral	hsa-mir-526a
leukemia, lymphocytic, chronic, b-cell	hsa-mir-451
distal myopathies	hsa-mir-661
hcv	hsa-mir-302f
periodontal diseases	hsa-mir-1302
waldenstrom macroglobulinemia	hsa-mir-608
pancreatic neoplasms	hsa-mir-346
hepatoblastoma	hsa-mir-490
mycosis fungoides	hsa-mir-652
hev	hsa-mir-1236
laryngeal neoplasms	hsa-mir-152
intellectual disability	hsa-mir-181
hepatitis c, chronic	hsa-mir-24
hepatitis	hsa-mir-34c
alopecia	hsa-mir-210
aging	hsa-mir-378b
cardiomyopathy, hypertrophic	hsa-mir-197
radiation injuries	hsa-mir-513b
scleroderma, localized	hsa-mir-1260a
sarcoma, ewing's	hsa-mir-101
lymphoma, non-hodgkin	hsa-mir-3940
carcinoma, hepatocellular	hsa-mir-624
cardiomyopathies	hsa-mir-655
schistosomiasis	hsa-mir-636
sars virus	hsa-mir-335
carcinoma, small cell	hsa-mir-361
adenocarcinoma	hsa-mir-125b
child development disorders, pervasive	hsa-mir-548a
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-490
osteoarthritis	hsa-mir-520g
lymphoma, large-cell, anaplastic	hsa-mir-519e
testicular neoplasms	hsa-mir-4306
keratoconus	hsa-mir-25
wounds and injuries	hsa-mir-611
encephalomyelitis, autoimmune, experimental	hsa-mir-338
chordoma	hsa-mir-527
hcv	hsa-mir-181
ovarian neoplasms	hsa-mir-655
hepatitis, chronic	hsa-mir-520e
nephrosclerosis	hsa-mir-941
panic disorder	hsa-mir-128
glomerulonephritis, iga	hsa-mir-548c
dyslipidemias	hsa-mir-130b
cerebral infarction	hsa-mir-590
gerstmann-straussler-scheinker disease	hsa-mir-124a
nervous system diseases	hsa-mir-181
leiomyosarcoma	hsa-mir-125a
azoospermia	hsa-mir-96
prion diseases	hsa-mir-590
cicatrix	hsa-mir-550a
sezary syndrome	hsa-mir-30b
choriocarcinoma	hsa-mir-4792
cardiomyopathy, hypertrophic	hsa-mir-603
lymphoma, non-hodgkin	hsa-mir-151a
brain injuries	hsa-mir-512
neurodegenerative diseases	hsa-mir-1275
neoplasms, glandular and epithelial	hsa-mir-338
pulmonary embolism	hsa-mir-124
multiple sclerosis	hsa-mir-30c
nephrosclerosis	hsa-mir-571
gerstmann-straussler-scheinker disease	hsa-mir-525
francisella	hsa-mir-545
lymphoma, large b-cell, diffuse	hsa-mir-224
neurofibromatosis 2	hsa-mir-942
meningioma	hsa-mir-337
muscular dystrophies	hsa-mir-27a
nerve sheath neoplasms	hsa-mir-432
bladder neoplasms	hsa-mir-182
lymphoma, large-cell, anaplastic	hsa-mir-320c
urinary bladder neoplasms	hsa-mir-663a
encephalomyelitis, autoimmune, experimental	hsa-mir-186
hamartoma syndrome, multiple	hsa-mir-758
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-582
adenocarcinoma	hsa-mir-450a
diabetic retinopathy	hsa-mir-376c
central nervous system diseases	hsa-mir-378i
stomach neoplasms	hsa-mir-4792
hypertrophy	hsa-mir-574
salivary gland neoplasms	hsa-mir-487a
retinal neovascularization	hsa-mir-765
obesity	hsa-mir-151a
papilary thyroid carcinoma	hsa-mir-9
liver cirrhosis	hsa-mir-519e
kidney failure, chronic	hsa-mir-429
hyperglycemia	hsa-mir-1305
heart defects, congenital	hsa-mir-519c
carcinoma, oral	hsa-mir-139
nephrosclerosis	hsa-mir-210
hamartoma syndrome, multiple	hsa-mir-567
neurodegenerative diseases	hsa-mir-485
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-103b
hemangioma	hsa-mir-621
diabetes mellitus, type 2	hsa-mir-451b
nasal polyps	hsa-mir-192
sjogren's syndrome	hsa-mir-3151
sjogren's syndrome	hsa-mir-487a
gastrointestinal neoplasms	hsa-mir-1275
head and neck neoplasms	hsa-mir-181b
gastrointestinal neoplasms	hsa-mir-522
arthritis, psoriatic	hsa-mir-1180
nasopharyngeal neoplasms	hsa-mir-19b
hyperlipidemias	hsa-mir-1471
carcinoma, squamous cell	hsa-mir-378g
graft vs host disease	hsa-mir-510
sarcoma, synovial	hsa-mir-152
small cell lung carcinoma	hsa-mir-326
cervical neoplasms	hsa-mir-206
focal epithelial hyperplasia	hsa-mir-383
burkitt lymphoma	hsa-let-7b
nervous system diseases	hsa-mir-146b
ovarian neoplasms	hsa-mir-1260a
liver cirrhosis	hsa-mir-509
brain injury	hsa-mir-369
lupus erythematosus, systemic	hsa-mir-136
sarcoma, ewing's	hsa-mir-451
adenoviridae infections	hsa-mir-1224
endomyocardial fibrosis	hsa-mir-664
leukemia, lymphoblastic, acute	hsa-mir-431
mastocytosis, systemic	hsa-mir-617
osteosarcoma 	hsa-mir-320b
anemia, sickle cell	hsa-mir-1909
alzheimer disease	hsa-mir-941
cerebral hemorrhage	hsa-mir-661
musculoskeletal abnormalities	hsa-mir-200a
cerebellar neoplasms	hsa-mir-378i
moyamoya disease	hsa-mir-608
renal insufficiency	hsa-mir-125b
keratoconus	hsa-mir-519d
arthritis	hsa-mir-454
pemphigus, benign familial	hsa-mir-720
fibrosarcoma	hsa-mir-92a
kidney failure, chronic	hsa-mir-766
hbv infection	hsa-mir-3940
lipid metabolism disorders	hsa-mir-640
intracranial aneurysm	hsa-mir-675
leukemia, biphenotypic, acute	hsa-mir-532
moyamoya disease	hsa-mir-590
leiomyosarcoma	hsa-mir-1303
neoplasms, squamous cell	hsa-mir-767
precursor cell lymphoblastic leukemia-lymphoma	hsa-mir-617
endometrial neoplasms	hsa-mir-519e
glioma	hsa-mir-374b
moyamoya disease	hsa-mir-378g
neutropenia	hsa-mir-181a
adenoma	hsa-mir-4257
arthritis, psoriatic	hsa-mir-302b
pre-eclampsia	hsa-mir-9
helplessness, learned	hsa-mir-15a
amyloidosis	hsa-mir-339
stomach neoplasms 	hsa-mir-146a
uterine cervical neoplasms	hsa-mir-668
hiv infection	hsa-mir-101
cicatrix	hsa-mir-1827
focal epithelial hyperplasia	hsa-mir-130b
cardiomyopathy, hypertrophic	hsa-mir-345
endometriosis	hsa-mir-659
hyperlipidemias	hsa-mir-640
cardiovascular diseases	hsa-mir-646
leukemia, b-cell	hsa-mir-218
cerebral infarction	hsa-mir-335
retinoblastoma	hsa-mir-378b
lung diseases, interstitial	hsa-mir-711
leukemia, myeloid, chronic-phase	hsa-mir-100
leprosy	hsa-mir-182
tongue neoplasms	hsa-mir-129
cardiomyopathies	hsa-mir-449c
liver failure	hsa-mir-593
thyroid neoplasms	hsa-mir-521
down syndrome	hsa-mir-507
leukemia, myeloid	hsa-mir-766
cardiovascular diseases	hsa-mir-298
alopecia	hsa-mir-143
pre-eclampsia	hsa-mir-124a
arthritis, rheumatoid	hsa-mir-29a
uterine cervical neoplasms	hsa-mir-1287
rhabdomyosarcoma	hsa-mir-935
lymphoproliferative disorders	hsa-mir-552
trophoblasts	hsa-mir-133b
bladder neoplasms	hsa-mir-502
hepatoblastoma	hsa-mir-603
stomach neoplasms 	hsa-mir-598
bladder neoplasms	hsa-mir-30c
adenocarcinoma	hsa-mir-99a
scleroderma, localized	hsa-mir-675
hearing loss	hsa-mir-1256
hiv	hsa-mir-215
head and neck neoplasms	hsa-mir-371
cryptosporidium	hsa-mir-361
cystitis, interstitial	hsa-mir-1286
adenoma	hsa-mir-29c
nephrosclerosis	hsa-mir-455
cholangiocarcinoma	hsa-mir-1179
atherosclerosis	hsa-mir-508
polycystic kidney diseases	hsa-let-7c
tuberculosis, pulmonary	hsa-mir-21
cholesteatoma	hsa-mir-603
lymphoma, extranodal nk-t-cell	hsa-mir-615
vascular diseases	hsa-mir-208a
leprosy	hsa-mir-526a
cardiomyopathies	hsa-mir-625
neutropenia	hsa-mir-92b
lymphoma, non-hodgkin	hsa-mir-509
carcinoma, endometrioid	hsa-mir-636
tongue neoplasms	hsa-mir-29a
muscular dystrophy, duchenne	hsa-mir-504
endothelium, vascular	hsa-mir-448
reperfusion injury	hsa-mir-561
neurilemmoma	hsa-mir-337
multiple myeloma	hsa-mir-18b
heart defects, congenital	hsa-mir-200b
arrhythmias, cardiac	hsa-mir-516b
sarcoma	hsa-mir-509
meningioma	hsa-mir-328
nervous system diseases	hsa-mir-1247
ependymoma	hsa-mir-191
vitiligo	hsa-mir-582
keratoconus	hsa-mir-30a
acute coronary syndrome	hsa-mir-21
tongue neoplasms	hsa-mir-103a
bladder neoplasms	hsa-mir-135b
sezary syndrome	hsa-mir-933
mycosis fungoides	hsa-mir-633
fanconi anemia	hsa-mir-495
skin neoplasms	hsa-mir-766
alopecia	hsa-mir-411
gastritis, atrophic	hsa-mir-425
leukemia, myeloid, acute	hsa-mir-1299
glioma	hsa-mir-1322
pulmonary embolism	hsa-mir-342
myositis ossificans	hsa-mir-378h
myocarditis	hsa-mir-661
schizophrenia	hsa-mir-616
prrsv infection	hsa-mir-378f
adrenocortical adenoma	hsa-mir-1293
aortic valve insufficiency	hsa-mir-147a
hcmv infection	hsa-mir-1183
radiation injuries	hsa-mir-153
multiple myeloma	hsa-mir-450a
vascular diseases	hsa-mir-136
retinal degeneration	hsa-mir-133a
eczema	hsa-mir-1302
esophagus	hsa-mir-206
biliary tract neoplasms	hsa-mir-146a
amyloidosis	hsa-mir-514a
cholesteatoma	hsa-mir-1233
hyperglycemia	hsa-let-7e
albuminuria	hsa-mir-125b
diabetic retinopathy	hsa-mir-452
